rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against,source_name,source_date
156,Turkmenistan,1209,117,1358,-4,-42,187,42,76,69,71,82,34,288,281,World Football Elo Ratings PDF,2026-06-21
157,Congo,1207,83,1470,-1,-16,474,180,188,106,173,186,115,679,662,World Football Elo Ratings PDF,2026-06-21
158,Eritrea,1201,164,1158,8,62,86,20,28,38,17,50,19,61,137,World Football Elo Ratings PDF,2026-06-21
159,Lesotho,1198,151,1179,-1,-24,354,113,147,94,70,180,104,280,580,World Football Elo Ratings PDF,2026-06-21
160,Yemen,1195,144,1212,12,74,295,56,87,152,66,173,56,304,573,World Football Elo Ratings PDF,2026-06-21
161,Philippines,1179,135,1069,8,46,397,110,127,160,99,238,60,432,1023,World Football Elo Ratings PDF,2026-06-21
162,Tahiti,1177,103,1386,-1,0,254,58,71,125,136,82,36,693,383,World Football Elo Ratings PDF,2026-06-21
163,Eswatini,1148,153,1168,-4,-68,324,123,131,70,71,158,95,297,542,World Football Elo Ratings PDF,2026-06-21
164,Saint Vincent and the Grenadines,1141,110,1322,3,4,365,138,135,92,131,150,84,566,648,World Football Elo Ratings PDF,2026-06-21
165,Papua New Guinea,1135,165,1091,9,31,165,30,43,92,54,80,31,352,356,World Football Elo Ratings PDF,2026-06-21
165,Puerto Rico,1135,169,937,3,1,196,73,67,56,46,121,29,229,491,World Football Elo Ratings PDF,2026-06-21
167,Singapore,1134,134,1228,9,52,772,322,185,265,242,373,157,1036,1396,World Football Elo Ratings PDF,2026-06-21
168,India,1128,110,1341,-3,-14,612,177,172,263,220,263,129,838,1001,World Football Elo Ratings PDF,2026-06-21
169,Bermuda,1117,128,1283,-7,-51,236,106,82,48,79,112,45,375,417,World Football Elo Ratings PDF,2026-06-21
169,Vanuatu,1117,156,1104,12,72,227,54,51,122,71,124,32,404,485,World Football Elo Ratings PDF,2026-06-21
171,South Sudan,1109,178,1087,-2,-24,81,18,29,34,13,52,16,55,145,World Football Elo Ratings PDF,2026-06-21
172,Fiji,1104,129,1246,-18,-122,288,106,65,117,126,106,56,647,463,World Football Elo Ratings PDF,2026-06-21
173,Hong Kong,1101,123,1288,-9,-47,514,183,152,179,178,234,102,816,873,World Football Elo Ratings PDF,2026-06-21
174,Grenada,1098,101,1370,-1,-8,310,115,116,79,103,129,78,490,561,World Football Elo Ratings PDF,2026-06-21
175,Andorra,1080,182,1050,2,14,231,92,106,33,15,184,32,77,543,World Football Elo Ratings PDF,2026-06-21
176,Belize,1073,139,1114,2,15,129,44,44,41,32,74,23,138,245,World Football Elo Ratings PDF,2026-06-21
176,Chad,1073,135,1244,-13,-78,182,45,59,78,35,105,42,165,340,World Football Elo Ratings PDF,2026-06-21
176,Mauritius,1073,108,1334,-1,-22,359,124,151,84,100,174,85,450,572,World Football Elo Ratings PDF,2026-06-21
179,Solomon Islands,1054,147,1183,-8,-72,223,59,62,102,94,92,37,480,428,World Football Elo Ratings PDF,2026-06-21
180,Saint Martin,1042,187,983,2,-1,86,18,36,32,33,44,9,136,191,World Football Elo Ratings PDF,2026-06-21
181,Sao Tome and Principe,1035,174,1056,2,-3,82,24,36,22,11,60,11,59,213,World Football Elo Ratings PDF,2026-06-21
182,Saint Kitts and Nevis,1029,138,1174,3,4,252,121,80,51,104,101,47,431,396,World Football Elo Ratings PDF,2026-06-21
183,Gibraltar,1011,178,1081,-3,-35,118,41,49,28,18,85,15,70,344,World Football Elo Ratings PDF,2026-06-21
184,Somaliland,1005,188,1004,2,0,2,0,0,2,1,0,1,4,3,World Football Elo Ratings PDF,2026-06-21
185,Saint Lucia,1003,126,1240,-2,-35,264,89,108,67,90,132,42,361,485,World Football Elo Ratings PDF,2026-06-21
186,Western Sahara,996,189,996,1,0,1,0,1,0,0,1,0,0,6,World Football Elo Ratings PDF,2026-06-21
187,Myanmar,984,125,1244,3,33,554,119,139,296,219,231,104,899,958,World Football Elo Ratings PDF,2026-06-21
188,Aruba,979,125,1198,8,61,208,83,81,44,52,112,44,298,471,World Football Elo Ratings PDF,2026-06-21
188,Somalia,979,166,1072,9,68,150,10,48,92,15,112,23,78,375,World Football Elo Ratings PDF,2026-06-21
190,Sint Maarten,975,187,909,3,43,75,16,25,34,23,39,13,107,194,World Football Elo Ratings PDF,2026-06-21
191,Montserrat,972,191,642,-3,0,74,15,26,33,18,48,8,76,235,World Football Elo Ratings PDF,2026-06-21
192,Afghanistan,961,167,920,-13,-96,168,8,67,93,38,92,38,153,340,World Football Elo Ratings PDF,2026-06-21
193,Greenland,945,185,974,-2,0,22,2,7,13,5,16,1,35,50,World Football Elo Ratings PDF,2026-06-21
194,Bangladesh,942,181,980,5,35,327,92,97,138,88,166,73,300,584,World Football Elo Ratings PDF,2026-06-21
195,Djibouti,940,178,872,-1,11,121,28,40,53,11,99,11,83,424,World Football Elo Ratings PDF,2026-06-21
196,Dominica,934,132,1196,-7,-34,246,69,97,80,60,132,54,288,488,World Football Elo Ratings PDF,2026-06-21
197,Pakistan,909,154,1101,12,94,287,63,97,127,66,170,51,279,642,World Football Elo Ratings PDF,2026-06-21
198,Monaco,903,199,900,3,0,9,0,1,8,4,2,3,11,15,World Football Elo Ratings PDF,2026-06-21
199,Barbados,898,121,1243,-7,-40,375,168,132,75,117,162,96,492,616,World Football Elo Ratings PDF,2026-06-21
200,Antigua and Barbuda,895,145,1178,-2,-14,285,116,101,68,95,136,54,394,491,World Football Elo Ratings PDF,2026-06-21
200,Liechtenstein,895,167,1114,0,-10,259,115,125,19,19,208,32,104,726,World Football Elo Ratings PDF,2026-06-21
202,Nepal,893,190,889,-7,-33,295,74,91,130,68,174,53,247,665,World Football Elo Ratings PDF,2026-06-21
203,Cambodia,871,157,1058,4,36,318,82,93,143,73,200,45,367,816,World Football Elo Ratings PDF,2026-06-21
